Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
18Jun2004,6.328,7.555,8.110,5.424,10.505,11.749,6.170,28.975,5.505,19.121,59.136,7.177,6.040,13.000,10.581,8.129,1.931,9.326,7.002
19Jun2004,6.451,7.081,8.092,5.460,9.640,12.490,5.724,26.788,4.851,21.917,59.912,6.419,6.288,12.542,10.327,7.801,1.286,9.343,7.147
20Jun2004,6.539,6.287,8.024,5.503,9.139,12.373,5.900,24.597,4.243,24.976,60.832,6.078,6.425,11.760,9.669,7.098,1.320,9.334,7.216
21Jun2004,6.690,5.343,7.939,5.550,9.639,10.764,6.150,21.298,4.038,28.500,61.664,5.783,6.566,11.074,8.631,6.303,1.408,9.389,7.347
22Jun2004,6.799,5.005,7.897,5.605,9.944,9.175,6.561,19.621,4.128,31.492,61.569,6.124,6.720,10.481,7.511,6.095,1.172,9.588,7.519
23Jun2004,6.891,5.031,7.913,5.664,9.367,8.648,6.757,17.422,4.024,35.469,61.294,6.197,6.979,10.229,6.785,6.201,0.930,9.873,7.676
24Jun2004,7.025,4.923,7.873,5.733,8.817,8.425,7.051,13.792,3.885,43.642,61.819,6.057,7.441,10.025,6.441,6.150,0.796,10.013,7.805
25Jun2004,7.106,4.977,7.846,5.812,7.979,9.142,8.210,14.855,4.112,45.152,63.466,6.275,7.649,10.176,6.315,6.165,0.801,10.002,7.830
26Jun2004,7.105,5.076,7.767,5.884,8.082,9.786,9.165,16.643,4.232,44.116,65.467,6.137,7.713,10.349,6.289,6.175,1.170,10.179,7.828
27Jun2004,7.063,5.351,7.819,5.941,8.240,10.043,10.149,22.599,4.507,36.615,67.149,6.653,7.442,10.427,6.704,6.484,1.272,10.341,7.779
28Jun2004,6.940,5.677,7.905,5.978,9.007,10.292,9.954,29.399,4.636,28.599,68.415,6.955,7.049,10.535,7.290,6.796,1.714,10.585,7.674
29Jun2004,6.868,5.739,7.950,5.999,9.642,9.795,8.597,29.365,4.162,26.976,68.986,6.996,6.960,10.563,7.552,6.447,2.766,10.642,7.520
30Jun2004,6.937,5.416,7.934,6.013,9.246,9.076,8.330,26.109,3.846,28.994,68.423,7.204,6.987,10.445,7.784,5.803,1.922,10.099,7.569
01Jul2004,7.131,5.217,7.897,6.024,8.262,8.803,11.005,30.854,4.318,26.596,68.105,7.078,7.081,10.272,7.777,5.787,5.681,9.061,7.865
02Jul2004,7.167,5.543,7.870,6.047,8.763,9.234,11.328,35.518,5.288,25.322,69.393,8.127,6.956,10.356,7.886,6.392,11.772,8.743,7.935
03Jul2004,7.144,6.362,8.546,6.060,10.480,10.254,11.517,39.278,5.742,24.352,71.133,10.973,6.753,10.756,8.194,7.222,12.305,8.747,7.887
04Jul2004,7.151,7.176,9.379,6.056,11.058,11.222,11.530,39.275,5.738,23.984,72.774,11.370,6.597,11.293,8.668,7.894,12.481,8.655,7.842
05Jul2004,7.099,7.466,10.103,6.043,11.332,12.241,11.489,36.324,5.675,24.800,74.205,11.381,6.525,11.616,9.335,8.041,12.435,8.478,7.775
06Jul2004,6.993,7.323,10.663,6.021,11.795,13.162,11.554,31.827,5.703,26.012,75.322,11.381,6.461,11.710,9.965,8.373,12.365,8.297,7.669
07Jul2004,6.836,7.276,10.995,5.984,12.310,15.350,11.480,32.493,5.961,26.025,76.120,11.239,6.229,11.894,10.321,8.409,12.108,8.272,7.507
08Jul2004,6.618,7.500,11.055,5.921,12.976,15.380,11.260,30.649,5.527,26.374,76.262,10.777,5.980,12.871,10.540,8.099,11.815,8.293,7.230
09Jul2004,6.475,7.333,10.919,5.848,13.890,13.935,10.971,29.470,5.108,27.525,75.907,10.368,5.887,14.092,10.433,7.673,11.457,7.969,7.002
10Jul2004,6.349,6.813,10.677,5.769,14.912,17.406,10.638,28.334,5.409,27.985,74.455,10.187,5.599,14.599,10.059,8.077,11.135,7.509,6.790
11Jul2004,6.201,6.952,10.425,5.692,14.476,20.535,10.438,34.900,6.173,24.935,73.074,9.970,5.295,15.383,10.031,8.202,10.991,7.597,6.582
12Jul2004,6.015,7.601,10.227,5.629,13.874,20.061,8.998,39.410,6.378,21.483,71.814,9.681,5.177,16.766,10.318,8.567,10.270,7.817,6.395
13Jul2004,5.965,8.231,9.913,5.577,12.847,15.960,9.600,45.226,6.118,19.309,70.998,8.923,5.241,17.786,10.710,8.596,9.730,7.955,6.354
14Jul2004,5.940,8.238,9.634,5.532,15.265,17.845,9.036,34.340,6.260,20.126,69.582,9.123,5.255,18.443,11.078,8.676,9.602,7.851,6.363
15Jul2004,5.935,8.501,9.368,5.483,14.398,18.812,9.023,39.072,6.212,19.364,68.886,8.770,5.214,18.961,11.584,8.616,9.560,7.707,6.266
16Jul2004,5.872,8.723,9.220,5.430,13.514,17.668,8.958,41.745,6.617,18.177,67.786,8.772,5.152,19.261,12.080,8.500,9.342,7.647,6.212
17Jul2004,5.828,9.051,9.063,5.372,13.849,17.026,8.857,41.131,6.453,17.594,66.844,8.642,5.106,19.670,12.523,8.961,9.296,7.576,6.155
